PDF file,%PDF-1.6,9,lightblue
PDF file,Linearized,407,MediumPurple
PDF file,Cavity 3,7,red
PDF file,17 0 obj,141
PDF file,12 0 obj,76
PDF file,13 0 obj,142
PDF file,Object stream 14,203
PDF file,Object stream 1,219
PDF file,2 0 obj,3245
PDF file,Object stream 3,140
PDF file,Object stream 4,197
PDF file,XRef stream 5,278
PDF file,startxref,10,lightblue
PDF file,Cavity 4,3,red
PDF file,%%EOF,6,lightblue
Linearized,11 0 obj,76,MediumPurple
Linearized,Cavity 2,23,red
Linearized,XRef stream 15,292,MediumPurple
Linearized,startxref,10,MediumPurple
Linearized,%%EOF,6,MediumPurple
Object stream 14,16 0 obj,100
Object stream 1,6 0 obj,49
Object stream 1,7 0 obj,43
Object stream 1,8 0 obj,36
Object stream 3,9 0 obj,36
Object stream 4,10 0 obj,140
17 0 obj,Stream dicts,64,wheat
17 0 obj,Compressed 17 0 obj,77,MistyRose
12 0 obj,Dictionaries,76,wheat
13 0 obj,Dictionaries,142,wheat
Object stream 14,Stream dicts,74,wheat
Object stream 14,Compressed Object stream 14,129,MistyRose
Object stream 1,Stream dicts,74,wheat
Object stream 1,Compressed Object stream 1,145,MistyRose
2 0 obj,Stream dicts,57,wheat
2 0 obj,Compressed 2 0 obj,3188,MistyRose
Object stream 3,Stream dicts,72,wheat
Object stream 3,Compressed Object stream 3,68,MistyRose
Object stream 4,Stream dicts,73,wheat
Object stream 4,Compressed Object stream 4,124,MistyRose
XRef stream 5,Stream dicts,211,wheat
XRef stream 5,Compressed XRef stream 5,67,MistyRose
XRef stream 15,Stream dicts,234,wheat
XRef stream 15,Compressed XRef stream 15,58,MistyRose
16 0 obj,Dictionaries,100,wheat
6 0 obj,Dictionaries,49,wheat
7 0 obj,Dictionaries,43,wheat
8 0 obj,Dictionaries,36,wheat
9 0 obj,Dictionaries,36,wheat
10 0 obj,Dictionaries,140,wheat
Compressed 17 0 obj,Uncompressed data,112,MistyRose
Compressed Object stream 14,Uncompressed data,129,MistyRose
Compressed Object stream 1,Uncompressed data,159,MistyRose
Compressed 2 0 obj,Uncompressed data,3188,MistyRose
Compressed Object stream 3,Uncompressed data,68,MistyRose
Compressed Object stream 4,Uncompressed data,162,MistyRose
Compressed XRef stream 5,Uncompressed data,67,MistyRose
Compressed XRef stream 15,Uncompressed data,58,MistyRose
Cavity 3,Cavities,7,red
Cavity 4,Cavities,3,red
Cavity 2,Cavities,23,red
%PDF-1.6,Overhead,9,lightblue
startxref,Overhead,10,lightblue
%%EOF,Overhead,6,lightblue
startxref,Overhead,10,lightblue
%%EOF,Overhead,6,lightblue
Stream dicts,Dictionaries,859,wheat
Dictionaries,Objects,1481,wheat
